Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 93			3.726001																											-0.000000	0.001659																																													
 94			3.735907																											-0.011727	0.001075																																													
 95			3.779217																											-0.044701	0.000644																																													
 96			3.874072																											-0.095822	0.000211																																													
 97			3.953226																											-0.080106	0.000177																																													
 98			4.055198																											-0.102860	0.000098																																													
 99			4.163965																											-0.109641	0.000062																																													
 100			4.263347																											-0.100432	0.000217																																													
 101			4.330391																											-0.068548	0.000652																																													
 102			4.314818																											-0.000000	0.014706																																													
 103			4.144208																											-0.000000	0.169747																																													
 104			3.972572																											-0.000000	0.170807																																													
 105			3.821094																											-0.000000	0.150684																																													
 106			3.815977																											-0.000000	0.004353																																													
 107			3.810522																											-0.000000	0.004692																																													
 108			3.804626																											-0.000000	0.005134																																													
 109			3.798759																											-0.000000	0.005106																																													
 110			3.793156																											-0.000000	0.004844																																													
 111			3.787188																											-0.000000	0.005209																																													
 112			3.780776																											-0.000000	0.005654																																													
 113			3.774157																											-0.000000	0.005863																																													
 114			3.768220																											-0.000000	0.005182																																													
 115			3.763881																											-0.000000	0.003586																																													
 116			3.760753																											-0.000000	0.002375																																													
 117			3.758344																											-0.000000	0.001658																																													
 118			3.758454																											-0.001937	0.001075																																													
 119			3.792114																											-0.035056	0.000644																																													
 120			3.874088																											-0.082944	0.000211																																													
 121			3.873137																											-0.000001	0.000177																																													
 122			3.872266																											-0.000002	0.000098																																													
 123			3.871432																											-0.000002	0.000062																																													
 124			3.870443																											-0.000003	0.000217																																													
 125			3.869022																											-0.000004	0.000652																																													
 126			3.866443																											-0.000008	0.001813																																													
 127			3.952252																											-0.090323	0.003742																																													
 128			3.946490																											-0.000000	0.004971																																													
 129			3.941305																											-0.000000	0.004396																																													
 130			3.936200																											-0.000000	0.004317																																													
 131			3.930729																											-0.000000	0.004683																																													
 132			3.924815																											-0.000000	0.005128																																													
 133			3.918928																											-0.000000	0.005102																																													
 134			3.913304																											-0.000000	0.004840																																													
 135			3.907315																											-0.000000	0.005207																																													
 136			3.900882																											-0.000000	0.005652																																													
 137			3.894241																											-0.000000	0.005861																																													
 138			3.888282																											-0.000000	0.005181																																													
 139			3.883920																											-0.000000	0.003585																																													
 140			3.880770																											-0.000000	0.002373																																													
 141			3.878338																											-0.000000	0.001656																																													
 142			3.876487																											-0.000000	0.001075																																													
 143			3.875068																											-0.000000	0.000644																																													
 144			3.874082																											-0.000000	0.000211																																													
 145			3.873131																											-0.000001	0.000177																																													
 146			3.872260																											-0.000002	0.000098																																													
 147			3.871425																											-0.000002	0.000062																																													
 148			3.870437																											-0.000003	0.000217																																													
 149			3.869015																											-0.000004	0.000652																																													
 150			3.866437																											-0.000008	0.001813																																													
 151			3.952245																											-0.090323	0.003742																																													
 152			3.946484																											-0.000000	0.004971																																													
 153			3.941299																											-0.000000	0.004396																																													
 154			3.936194																											-0.000000	0.004317																																													
 155			3.930723																											-0.000000	0.004683																																													
 156			3.924809																											-0.000000	0.005128																																													
 157			3.918922																											-0.000000	0.005102																																													
 158			3.913298																											-0.000000	0.004840																																													
 159			3.907309																											-0.000000	0.005207																																													
 160			3.900876																											-0.000000	0.005652																																													
 161			3.894235																											-0.000000	0.005861																																													
 162			3.888276																											-0.000000	0.005181																																													
 163			3.883914																											-0.000000	0.003585																																													
 164			3.880764																											-0.000000	0.002373																																													
 165			3.878332																											-0.000000	0.001656																																													
 166			3.876481																											-0.000000	0.001075																																													
 167			3.875062																											-0.000000	0.000644																																													
 168			3.874076																											-0.000000	0.000211																																													
 169			3.873124																											-0.000000	0.000177																																													
 170			3.872252																											-0.000001	0.000098																																													
 171			3.871416																											-0.000001	0.000062																																													
 172			3.870425																											-0.000001	0.000217																																													
 173			3.869001																											-0.000001	0.000652																																													
 174			3.866417																											-0.000003	0.001813																																													
 175			3.952244																											-0.090341	0.003742																																													
 176			3.946482																											-0.000000	0.004971																																													
 177			3.941297																											-0.000000	0.004396																																													
 178			3.936192																											-0.000000	0.004317																																													
 179			3.930721																											-0.000000	0.004683																																													
 180			3.924807																											-0.000000	0.005128																																													
 181			3.918920																											-0.000000	0.005102																																													
 182			3.913296																											-0.000000	0.004840																																													
 183			3.907307																											-0.000000	0.005207																																													
 184			3.900874																											-0.000000	0.005652																																													
 185			3.894233																											-0.000000	0.005861																																													
 186			3.888274																											-0.000000	0.005181																																													
 187			3.883912																											-0.000000	0.003585																																													
 188			3.880762																											-0.000000	0.002373																																													
 189			3.878330																											-0.000000	0.001656																																													
 190			3.876479																											-0.000000	0.001075																																													
