{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
2854;0.000123954;0.000114155;4.11E-05;0.000114155;0;0.034597405;0;0.880025406;0;0.696453635
2855;0.000111461;0.000114155;2.46E-05;0.000114155;0;0.025948054;0;0.349436792;0;0.590191769
2856;1.02E-04;0.000114155;8.08E-06;0.000114155;0;0.023064937;0;0.223477017;0;0.586244658
2857;9.55E-05;0.000114155;6.77E-06;0.000114155;0;0.02018182;0;0.225170026;0;0.521737588
2858;9.21E-05;0.000114155;3.75E-06;0.000114155;0;0.021623378;0;0.226524432;0;0.50592095
2859;9.02E-05;0.000114155;2.38E-06;0.000114155;0;0.027389612;0;0.224492823;0;0.476162552
2860;8.92E-05;0.000114155;8.30E-06;0.000114155;0;0.033155847;0;0.218736596;0;0.461515951
2861;9.07E-05;0.000114155;2.49E-05;0.000114155;0;0.044688315;0;0.22178401;0;0.471693859
2862;9.55E-05;0.000114155;6.93E-05;0.000114155;0;0.063428576;0;0.217720791;0;0.51839664
2863;9.80E-05;0.000114155;1.43E-04;0.000114155;0.029489697;0.067753252;0;0.213657572;0.014716122;0.540542752
2864;1.05E-04;0.000114155;1.90E-04;0.000114155;0.219945699;0.113883125;0;0.251580946;0.182191008;0.519961388
2865;0.000111546;0.000114155;1.68E-04;0.000114155;0.417599715;0.183077935;0;0.249887938;0.369175219;0.54423612
2866;0.000114953;0.000114155;1.65E-04;0.000114155;0.583515167;0.229207809;0;0.285102498;0.528524639;0.548098649
2867;0.000116623;0.000114155;1.79E-04;0.000114155;0.700423389;0.230649367;0;0.2854411;0.64132909;0.541853756
2868;0.000116383;0.000114155;1.96E-04;0.000114155;0.759296085;0.213350665;0;0.296953553;0.697739523;0.558121493
2869;0.000114188;0.000114155;1.95E-04;0.000114155;0.754396182;0.197493521;0;0.298985162;0.692839621;0.520271517
2870;0.000116391;1.14E-04;1.85E-04;0.000114155;0.274008775;0.184519494;0;0.269188226;0.017112724;0.535820315
2871;0.000118374;1.14E-04;1.99E-04;0.000114155;0.379196628;0.17875326;0;0.260045985;0.102602477;0.57864647
2872;0.000118781;1.14E-04;2.16E-04;0.000114155;0.393929165;0.162896116;0;0.464222714;0.346325424;0.607756413
2873;0.000115994;0.000114155;2.24E-04;0.000114155;0.196291564;0.115324684;0;0.462191105;0.160999135;0.624559827
2874;0.00011784;0.000114155;1.98E-04;0.000114155;0.010669804;0.080727279;0;0.756435845;0;0.657419527
2875;0.000137183;0.000114155;1.37E-04;0.000114155;0;0.087935071;0;0.886120235;0;0.831036022
2876;0.000135558;0.000114155;9.07E-05;0.000114155;0;0.096584423;0;0.88273422;0;0.850898448
2877;0.000131037;0.000114155;6.33E-05;0.000114155;0.00E+00;0.093701305;0;0.884765829;0;0.785503278
2878;0.000121815;0.000114155;4.11E-05;0.000114155;0;0.116766242;0;0.876639392;0;0.677155082
2879;0.000110661;0.000114155;2.46E-05;0.000114155;0;0.116766242;0;0.341648955;0;0.615664732
2880;1.01E-04;0.000114155;8.08E-06;0.000114155;0;0.119649359;0;0.224831423;0;0.557797265
2881;9.68E-05;0.000114155;6.77E-06;0.000114155;0;0.103792215;0;0.181151825;0;0.581733674
2882;9.36E-05;0.000114155;3.75E-06;0.000114155;0;0.102350657;0;0.184876442;0;0.578787437
2883;9.20E-05;0.000114155;2.38E-06;0.000114155;0;0.100909098;0;0.189616863;0;0.558375235
2884;9.06E-05;0.000114155;8.30E-06;0.000114155;0;0.102350657;0;0.192325675;0;0.53992249
2885;9.14E-05;0.000114155;2.49E-05;0.000114155;0;0.086493513;0;0.190971269;0;0.550861627
2886;9.11E-05;0.000114155;6.93E-05;0.000114155;0;0.070636369;0;0.196050292;0;0.546703064
2887;9.63E-05;0.000114155;1.43E-04;0.000114155;0.027913849;0.057662342;0;0.251242344;0.013140274;0.535735735
2888;1.03E-04;0.000114155;1.90E-04;0.000114155;0.217458814;0.061987017;0;0.257337172;0.180524877;0.555992871
2889;1.10E-04;0.000114155;1.68E-04;0.000114155;0.415112829;0.096584423;0;0.256659969;0.366688334;0.563421899
2890;1.14E-04;1.14E-04;1.65E-04;0.000114155;0.581832621;0.122532476;0;0.272574242;0.526842093;0.580084346
