Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 93			83.544267																											-0.000000	0.025238																																													
 94			83.526635																											-0.000000	0.000924																																													
 95			83.509071																											-0.000000	0.000859																																													
 96			83.614011																											-0.121817	0.000175																																													
 97			84.657848																											-1.060708	0.000149																																													
 98			85.730556																											-1.089724	0.000084																																													
 99			86.825101																											-1.111746	0.000055																																													
 100			87.901650																											-1.094096	0.000182																																													
 101			88.885880																											-1.002353	0.000542																																													
 102			89.608380																											-0.741778	0.001502																																													
 103			89.980340																											-0.392976	0.003094																																													
 104			90.179546																											-0.221309	0.004108																																													
 105			90.485632																											-0.327755	0.003633																																													
 106			91.081702																											-0.617735	0.003568																																													
 107			91.731581																											-0.671965	0.003870																																													
 108			92.143889																											-0.434892	0.004238																																													
 109			92.765264																											-0.644020	0.004216																																													
 110			93.334567																											-0.591856	0.004000																																													
 111			93.600539																											-0.288941	0.004303																																													
 112			93.611254																											-0.034104	0.004669																																													
 113			93.358175																											-0.000004	0.234360																																													
 114			93.201455																											-0.000004	0.138053																																													
 115			93.348368																											-0.168517	0.002963																																													
 116			93.794905																											-0.467170	0.001963																																													
 117			94.436904																											-0.662130	0.001372																																													
 118			95.257316																											-0.840192	0.000892																																													
 119			96.229121																											-0.991391	0.000535																																													
 120			97.333200																											-1.123503	0.000177																																													
 121			97.878973																											-0.566007	0.000767																																													
 122			98.612280																											-0.753585	0.000702																																													
 123			99.419830																											-0.827971	0.000699																																													
 124			100.221213																											-0.822079	0.000812																																													
 125			100.972429																											-0.772342	0.001083																																													
 126			101.544141																											-0.593877	0.001970																																													
 127			101.853619																											-0.333330	0.003543																																													
 128			101.844226																											-0.015346	0.004369																																													
 129			101.839071																											-0.019095	0.003882																																													
 130			101.838724																											-0.023839	0.003818																																													
 131			101.836305																											-0.022070	0.004122																																													
 132			101.831097																											-0.019649	0.004490																																													
 133			101.825030																											-0.018774	0.004475																																													
 134			101.816316																											-0.015959	0.004307																																													
 135			101.809663																											-0.018298	0.004588																																													
 136			101.706275																											-0.000269	0.083295																																													
 137			101.667412																											-0.000294	0.018816																																													
 138			101.645074																											-0.002299	0.004304																																													
 139			101.646011																											-0.024540	0.003273																																													
 140			101.657030																											-0.033638	0.002290																																													
 141			101.674122																											-0.039144	0.001721																																													
 142			101.715525																											-0.063008	0.001271																																													
 143			101.925000																											-0.230772	0.000953																																													
 144			102.608061																											-0.704124	0.000678																																													
 145			102.766432																											-0.179041	0.000148																																													
 146			103.136124																											-0.390327	0.000082																																													
 147			103.665861																											-0.550417	0.000052																																													
 148			104.182341																											-0.537394	0.000181																																													
 149			104.606835																											-0.445870	0.000540																																													
 150			104.727136																											-0.142720	0.001498																																													
 151			104.669686																											-0.000002	0.036506																																													
 152			104.482123																											-0.000002	0.166631																																													
 153			104.588470																											-0.130874	0.003630																																													
 154			104.796380																											-0.232393	0.003566																																													
 155			104.935871																											-0.164318	0.003868																																													
 156			104.955132																											-0.044484	0.004236																																													
 157			104.940955																											-0.011028	0.004214																																													
 158			104.882423																											-0.000002	0.037546																																													
 159			104.548239																											-0.000001	0.313208																																													
 160			103.882391																											-0.000001	0.644940																																													
 161			102.937596																											-0.000002	0.924020																																													
 162			102.119824																											-0.000002	0.797187																																													
 163			101.630420																											-0.000002	0.468981																																													
 164			101.436836																											-0.000001	0.173260																																													
 165			101.448577																											-0.033398	0.001369																																													
 166			101.628546																											-0.201147	0.000889																																													
 167			101.966431																											-0.358744	0.000533																																													
 168			102.448668																											-0.502806	0.000176																																													
 169			101.836073																											-0.000119	0.592225																																													
 170			101.258336																											-0.000129	0.557498																																													
 171			100.705007																											-0.000136	0.533214																																													
 172			100.139093																											-0.000150	0.545923																																													
 173			99.498030																											-0.000124	0.621159																																													
 174			98.643966																											-0.000126	0.834291																																													
 175			97.391318																											-0.000172	1.233091																																													
 176			96.313891																											-0.000193	1.058141																																													
 177			96.073504																											-0.000173	0.221297																																													
 178			95.938408																											-0.000165	0.116046																																													
 179			95.834853																											-0.000158	0.084526																																													
 180			95.745510																											-0.000153	0.070329																																													
 181			95.666016																											-0.000148	0.060493																																													
 182			95.593653																											-0.000146	0.053377																																													
 183			95.523877																											-0.000156	0.050813																																													
 184			95.439957																											-0.000169	0.064984																																													
