{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
59;0.000130556;0.000114155;1.79E-04;0.000114155;0.71422;0.334;0;0.859361056;0.227734555;0.739344087
60;0.000131963;0.000114155;1.96E-04;0.000114155;0.87871;0.332;0;0.859361056;0.927191019;0.739344087
61;0.000131635;0.000114155;1.95E-04;0.000114155;0.82961;0.353;0;0.859361056;0.876585314;0.739344087
62;0.000137294;0.000114155;1.85E-04;0.000114155;0.72889;0.397;0;0.859361056;0.76186543;0.739344087
63;0.000138582;0.000114155;1.99E-04;0.000114155;0.51265;0.431;0;0.859361056;0.197076273;0.739344087
64;0.000138759;0.000114155;2.16E-04;0.000114155;0.35601;0.428;0;0.859361056;0.092418914;0.739344087
65;0.000134375;0.000114155;2.24E-04;0.000114155;0.18978;0.385;0;0.859361056;0.023615404;0.739344087
66;0.000128749;0.000114155;1.98E-04;0.000114155;0.07045;0.295;0;0.859361056;0;0.739344087
67;0.000141902;0.000114155;1.37E-04;0.000114155;0.00042;0.219;0;0.859361056;0;0.739344087
68;0.000148577;0.000114155;9.07E-05;0.000114155;0;0.121;0;0.859361056;0;0.739344087
69;0.000145879;0.000114155;6.33E-05;0.000114155;0;0.049;0;0.859361056;0;0.739344087
70;0.000138332;0.000114155;4.11E-05;0.000114155;0;0.029;0;0.859361056;0;0.739344087
71;0.000127139;0.000114155;2.46E-05;0.000114155;0;0.044;0;0.859361056;0;0.739344087
72;0.00011545;0.000114155;8.08E-06;0.000114155;0;0.091;0;0.859361056;0;0.739344087
73;1.00E-04;0.000114155;6.77E-06;0.000114155;0;0.132;0;0.859361056;0;0.739344087
74;9.60E-05;0.000114155;3.75E-06;0.000114155;0;0.163;0;0.859361056;0;0.739344087
75;9.47E-05;0.000114155;2.38E-06;0.000114155;0;0.208;0;0.859361056;0;0.739344087
76;9.32E-05;0.000114155;8.30E-06;0.000114155;0;0.218;0;0.859361056;0;0.739344087
77;9.46E-05;0.000114155;2.49E-05;0.000114155;0;0.203;0;0.859361056;0;0.739344087
78;9.85E-05;0.000114155;6.93E-05;0.000114155;0;0.135;0;0.859361056;0;0.739344087
79;1.00E-04;0.000114155;1.43E-04;0.000114155;0.26101;0.084;0;0.859361056;0.236145156;0.739344087
80;1.08E-04;0.000114155;1.90E-04;0.000114155;0.51211;0.112;0;0.859361056;0.47200611;0.739344087
81;1.15E-04;0.000114155;1.68E-04;0.000114155;0.69833;0.127;0;0.859361056;0.67061885;0.739344087
82;0.000117369;0.000114155;1.65E-04;0.000114155;0.81288;0.122;0;0.859361056;0.820020249;0.739344087
83;0.000119555;0.000114155;1.79E-04;0.000114155;0.88136;0.1;0;0.859361056;0.90699492;0.739344087
84;0.000118235;0.000114155;1.96E-04;0.000114155;0.30547;0.072;0;0.859361056;0.020888842;0.739344087
85;0.000114721;0.000114155;1.95E-04;0.000114155;0.34174;0.05;0;0.859361056;0.020453657;0.739344087
86;0.00011685;0.000114155;1.85E-04;0.000114155;0.26705;0.031;0;0.859361056;0.016723507;0.739344087
87;0.000117296;0.000114155;1.99E-04;0.000114155;0.41798;0.019;0;0.859361056;0.050188284;0.739344087
88;0.000116657;0.000114155;2.16E-04;0.000114155;0.40143;0.014;0;0.859361056;0.275453835;0.739344087
89;0.000114637;0.000114155;2.24E-04;0.000114155;0.16778;0.012;0;0.859361056;0.009094462;0.739344087
90;0.000113349;0.000114155;1.98E-04;0.000114155;0.05378;0.022;0;0.859361056;0;0.739344087
91;0.000132737;0.000114155;1.37E-04;0.000114155;0;0.028;0;0.859361056;0;0.739344087
92;0.00013333;0.000114155;9.07E-05;0.000114155;0;0.031;0;0.859361056;0;0.739344087
93;0.000129913;0.000114155;6.33E-05;0.000114155;0;0.032;0;0.859361056;0;0.739344087
94;0.000121727;0.000114155;4.11E-05;0.000114155;0;0.037;0;0.859361056;0;0.739344087
95;0.00011243;0.000114155;2.46E-05;0.000114155;0;0.104;0;0.859361056;0;0.739344087
96;1.02E-04;0.000114155;8.08E-06;0.000114155;0;0.234;0;0.859361056;0;0.739344087
97;9.40E-05;0.000114155;6.77E-06;0.000114155;0;0.355;0;0.859361056;0;0.739344087
98;8.98E-05;0.000114155;3.75E-06;0.000114155;0;0.402;0;0.859361056;0;0.739344087
99;8.73E-05;0.000114155;2.38E-06;0.000114155;0;0.372;0;0.859361056;0;0.739344087
100;8.56E-05;0.000114155;8.30E-06;0.000114155;0;0.307;0;0.859361056;0;0.739344087
101;8.61E-05;0.000114155;2.49E-05;0.000114155;0;0.269;0;0.859361056;0;0.739344087
102;8.82E-05;0.000114155;6.93E-05;0.000114155;0;0.183;0;0.859361056;0;0.739344087
103;8.23E-05;0.000114155;1.43E-04;0.000114155;0.00013;0.247;0;0.859361056;0;0.739344087
